focus_switch_rate,overall_idle_percent,main_keystrokes,main_mouse_events,helper_keystrokes,helper_mouse_events,entertain_keystrokes,entertain_mouse_events,status
5,0.06076058176114675,0.8586304763906086,0.5988951994696974,0.10400440349406749,0.09740664693316681,0.034336705324501365,0.05928704546894179,productive
36,0.026717056001009005,0.29392779178871153,0.21198818304752517,0.11518259357462475,0.10556307762425217,0.27578800546545296,0.05131995942974171,fragmented
3,0.06334069934641917,0.7542481073014957,0.19536219284388953,0.10710187509413191,0.1008171956056378,0.05738052927050103,0.053290779016329885,productive
29,0.024156240534702413,0.49085009736253365,0.1843964695650825,0.09476289478191444,0.09853932633314136,0.12987648572718935,0.035024981432942755,fragmented
0,1.0,0.0,0.003867610442254371,0.003892845173595417,0.0038617939036956262,0.0,0.0,idle
0,0.9069234620970448,0.0,0.010135156030731136,0.007292236497452696,0.0,0.0,0.0,idle
0,0.8650322887531887,0.004184252673344858,0.0,0.006337465620478953,0.005240982712151754,0.0074396758757984925,0.0030387630351716675,idle
4,0.035399462920460895,0.6829364365243544,0.4292772030769371,0.10776186217932418,0.08816243853074711,0.04768609693759098,0.02776355494174666,productive
28,0.05266247227262387,0.977500153461267,0.19593807917375422,0.10722554529117817,0.10728534128576205,0.0,0.04062337197053037,fragmented
35,0.004531521123049789,0.274726209437909,0.20532216828403896,0.10233058861294232,0.09930605312560714,0.2634904056813123,0.04617096973585639,fragmented
3,0.056170561007870046,0.6646641323837877,0.5160917028736549,0.10414509393801688,0.0974667665797043,0.04856646778637343,0.05603037689775466,productive
11,0.0,0.03505375889052312,0.17766077669787228,0.11381218805177262,0.1139099021092973,0.6648525810795066,0.47205941700855536,distracted
35,0.022989053923080018,0.6781521247923499,0.18366569035598038,0.11039776967253592,0.08096331220963979,0.22219357903776324,0.05148542176783419,fragmented
2,0.029648263931820483,1.0,0.5724474918871368,0.0992605618188,0.08796511100297356,0.05687987454329352,0.05101027301151809,productive
8,0.1255906955755179,0.0,0.20907158534488066,0.3196273371695648,0.42356393038912354,0.05818286216074309,0.04890039502034165,active
5,0.04140598358802516,0.886128845530389,0.33740662625745477,0.0902661651386842,0.09691953307769514,0.04710614678402047,0.05649838354607986,productive
0,1.0,0.009927639614279074,0.0,0.0032392264602135535,0.00018091732059438096,0.012777087177647459,0.0012012941026256002,idle
11,0.09258267712210112,0.0,0.19543530614486362,0.17897928601138044,0.7918270384575468,0.06087235630192547,0.04021993928648742,active
2,0.05300102398588524,0.8803412162165309,0.223868071276335,0.10096563679040488,0.1109190788622742,0.05386917783056931,0.05848340593554134,productive
6,0.13241830823002032,0.054329113550468586,0.19814740870015515,0.43626626079683856,0.6674864648692859,0.04551713347343978,0.05797842957781758,active
4,0.08174932610592316,0.6241818965798053,0.3258130725127743,0.09749299695889921,0.08637139854976104,0.04669960161385421,0.07211726507468735,productive
1,0.10666388112178309,0.5072256363158243,0.6679837148261443,0.09707339232712463,0.11021468687325015,0.06678999127974208,0.04540102736014011,productive
2,0.09303540919146219,0.6188243302431629,0.3566960419527166,0.11713376353150289,0.10357789877401187,0.05492713095916353,0.03689875737173904,productive
0,0.05508068133730289,0.8840084970717685,0.8839061981175286,0.10779077964597542,0.08422513073707408,0.037166449719005665,0.041551872061682066,productive
4,0.08063177835527309,0.8046697127096434,0.6099237111410044,0.09770133385479045,0.08243092285590954,0.05633724893569888,0.0507906174574994,productive
4,0.04306287735864926,0.8306850327958504,0.5809029451885033,0.10752962166063326,0.100141049163054,0.05061633830230707,0.05426119792962728,productive
21,0.061776040336384466,0.24386915728633252,0.20315934248178832,0.0968031658530975,0.09924666778627983,0.3715303328960679,0.037872279323132314,fragmented
2,0.05918408722287018,0.8700953583541744,0.8433200343962357,0.08846875314591164,0.09566508587213732,0.038312754559098106,0.051760731074598415,productive
3,0.003101061763496129,1.0,0.9583518208990887,0.08538173093628697,0.09582810259158675,0.051977523702693325,0.04693808988767419,productive
3,0.06082379517876448,0.12458693726744108,0.19121194600005806,0.09837161471509916,0.833862889717457,0.04992087502977203,0.06586074975425259,active
6,0.1271943299178166,0.06752817727638703,0.22926325197312936,0.1115424482337316,0.7135852305225877,0.023375406363759135,0.043677963624559044,active
56,0.06576506067247717,0.12675908914108258,0.19443647860637975,0.0997536843762029,0.10155332259944207,0.4079698652367577,0.04101729111591666,fragmented
